title,company,expected,link,project,level,work mode,salary,salary_for,city,ukrainian_people
Senior DevOps Engineer (CI/CD) - Network Department,T-Mobile,"Docker,Kubernetes,Git,Jenkins,GitLab,Grafana,Prometheus,Groovy,Linux","https://www.pracuj.pl/praca/senior-devops-engineer-ci-cd-network-department-warszawa-marynarska-12,oferta,1003684505","Working in an established DevOps team based in Warsaw you will be responsible for all aspects of Networking, Cloud and CI/CD Pipeline, run and build for T-Mobile Poland located and strictly cooperated with T-Mobile Group international teams. Management of full cloud native stack and working to a strict dedicated solution for modern telecommunication services will be a large part of the role.  You will provide operational support for critical services that enable connected experiences found across T-Mobile customers. As is one of the leading engineering teams in the telecommunication world, our goal is to provide platform for businesses to build services and run workloads dedicated for 5G network.",senior specialist (Senior),hybrid work,,,Warszawa,True
Security Architect,Motorola Solutions,"AWS,Azure,GCP,Python,PowerShell","https://www.pracuj.pl/praca/security-architect-krakow-czerwone-maki-82,oferta,1003703645","The Product Security Architecture Team (PSAT) is an integral part of the corporate Product Security organization and is responsible for integrating security by design into the products created by our partner organizations in the business. Our PSAT consists of experienced security professionals that possess strong technical and communication skills, along with a proven track record of leadership demonstrated in leading key security architecture initiatives across the company.,We are seeking an experienced Product Security Architect with an initial focus on secure architecture standards and advisory. As a Product Security Architect, you will be responsible for designing, implementing, and maintaining the security posture of our product environments in partnership with the product teams. You will be leading discussions with product teams regarding security design considerations and implementations. Your primary focus will be on ensuring the confidentiality, integrity, and availability of our products and services by devising, documenting, and communicating technical security standards, procedures, and specifications that comply with NIST security standards such 800-53, 800-207, 800-92 etc. You will also be responsible for advising product teams on secure architecture implementation details during product design.",specialist (Mid / Regular),hybrid work,,,Kraków,True
"Software Engineering Manager, Cloud Run Serverless UI",Google,"Python,C,C++,Java,JavaScript","https://www.pracuj.pl/praca/software-engineering-manager-cloud-run-serverless-ui-warszawa-emilii-plater-53,oferta,1003694971","Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.,With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally.,Cloud Run is one of the google cloud projects. Cloud Run allows to develop and deploy highly scalable applications on a fully managed serverless platform. Cloud Run UI plays a critical role in those products, providing an enhanced developer experience, abstracting away the infrastructure management, and cross-product integrations. We're a full stack engineering team owning UI product development for Cloud Run. We focus on user experience and product excellence. Closely cooperating with our partners UX designers, Product Managers and adjacent back-end teams. We form a center of excellence of UI engineering, developed in both Angular and Java.,Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",senior specialist (Senior),hybrid work,,,Warszawa,False
Engineering Manager - ML & Data Scraping,EcoVadis Polska Sp. z o. o.,"NoSQL,SQL,Microsoft Azure,Python,Machine learning","https://www.pracuj.pl/praca/engineering-manager-ml-data-scraping-warszawa-twarda-18,oferta,1003684565","Our Technology and Platform Services department designs and secures the platform that underpins all of our offerings, achieving scalability and continuous improvement through innovation and collaboration.,EcoVadis is currently seeking an Engineering Manager to lead a team responsible for collecting & analyzing millions of news articles and documents related to Corporate Social Responsibility (CSR) using AI models. This team's work is pivotal in gathering the data that underpins our sustainability assessments and insights.,The Engineering Manager is responsible for the good functioning and performance of the team, from both an individual and collective view. The role will manage and support the team to meet challenging business goals and time frames.,You are also responsible for the quality of what the team delivers, and must therefore introduce good practices as necessary, for various aspects of the job. You will collaborate with other engineering managers to ensure that development processes are optimal.,Location: Hybrid in Warsaw / Remote from Poland,Contract: B2B or CoE","senior specialist (Senior), expert","home office work, hybrid work",,,Warszawa,False
Big Data Analyst,Integer Group Services Sp. z o.o,,"https://www.pracuj.pl/praca/big-data-analyst-krakow-pana-tadeusza-4,oferta,1003702857",,"specialist (Mid / Regular), senior specialist (Senior)",home office work,,,Kraków,False
AI Engineer,Silky Coders sp. z o.o.,"Python,Docker,OpenAI,TensorFlow,Azure,GCP,Dall-e","https://www.pracuj.pl/praca/ai-engineer-gdansk-dlugie-ogrody-12,oferta,1003694822","Czy kiedykolwiek zastanawiałeś się, jak Twoja ulubiona marka odzieżowa łączy się z nowoczesną technologią? Dołącz do nas i bądź częścią rewolucji w branży mody! Silky Coders nie tylko ubiera, ale i wspiera rozwój technologii w LPP.,Dołączysz do nowo powstającego zespołu, który będzie odpowiedzialny za tworzenie innowacyjnych rozwiązań opartych na generatywnej sztucznej inteligencji (AI). Naszym celem jest rozwój produktów AI w kluczowych obszarach, takich jak tworzenie treści, praca z obrazem, personalizacja oraz optymalizacja procesów.,Będziesz częścią zespołu składającego się z 5 specjalistów na różnych stanowiskach, takich jak AI Engineer, AI Researcher, Prompt Engineer i AI Ethicist. Nasz zespół będzie ściśle współpracował z działem Data Science, liczącym około 120 osób, które na co dzień pracują z danymi.",specjalista (Mid / Regular),praca zdalna,,,Gdańsk,False
Junior Data Analyst,R.Power,,"https://www.pracuj.pl/praca/junior-data-analyst-warszawa-pulawska-2,oferta,1003694081",,młodszy specjalista (Junior),praca hybrydowa,,,Warszawa,False
Python Developer,CLARITY LABS POLAND sp. z o.o.,Python,"https://www.pracuj.pl/praca/python-developer-warszawa,oferta,1003703869",,specjalista (Mid / Regular),praca zdalna,15000–22000,brutto / mies.,,False
Senior Python Developer for GenAI,SQUARE ONE RESOURCES sp. z o.o.,"FastAPI,Python,Azure Functions,Azure Storage,OAuth,Docker","https://www.pracuj.pl/praca/senior-python-developer-for-genai-warszawa-pulawska-2,oferta,1003709875","AI and Deals data strategy are made possible via the Connect Deals Experience ecosystem, specifically Engagement Hub, Data Studio and Junction.,Work is already underway across Deals to identify viable ideas to deliver even more automation and efficiency for our teams and clients through the application of GenAI.,Remote vs Onsite: 99% remote; mandatory attendance to planning sessions/workshops four times a year (able to travel freely around UK and Europe),HackerRank Challenge: Yes,US Hours overlap needed: Yes, 11:00 - 19:00 CET (11am - 7pm)",senior specialist (Senior),home office work,"160,00–180,00",net (+ VAT) / hr.,Warszawa,False
Python Developer (aspiring Solution Architect/Lead),SQUARE ONE RESOURCES sp. z o.o.,"Python,Flask,Celery,Redis,PostgreSQL,PySpark,Docker,Azure DevOps","https://www.pracuj.pl/praca/python-developer-aspiring-solution-architect-lead-warszawa,oferta,1003719579","The project aims to automate the creation of assessment dossiers for health technologies within clinical trials. These dossiers are used to evaluate the clinical, economic, and social impact of new treatments, drugs, or medical devices to support decision-making in healthcare systems.,The main goal is to improve both quality and efficiency by leveraging advanced technologies and Artificial Intelligence. This initiative is part of a larger program designed to rethink how clinical trials are conducted in the pharmaceutical industry, enhancing workflows, accelerating time to market, and generating clinical data more efficiently.","senior specialist (Senior), expert",home office work,26000–30000,net (+ VAT) / mth.,,False
